id,text,source
1,The new AI marketing tool is incredibly helpful! It boosted our engagement instantly.,twitter
2,I hate the recent update. It made everything slower and confusing.,instagram
3,Pretty decent tool. Has potential but needs improvements in the UI.,linkedin
4,Absolutely love the automation features. Saves me hours every week!,twitter
5,This is not useful for small businesses. Too expensive and complex.,facebook
6,Great content recommendations! My CTR improved last week.,instagram
7,The sentiment analysis feature is inaccurate sometimes.,youtube
8,Amazing product! Our campaign conversions increased noticeably.,twitter
9,Not sure how I feel about this update mixed results so far.,facebook
10,"The dashboard looks clean, but performance drops frequently.",linkedin
